epoch,accuracy,loss
0,0.47392451763153076,1.4482523202896118
1,0.4882584810256958,1.405493974685669
2,0.49238884449005127,1.3949642181396484
3,0.4940246343612671,1.389388084411621
4,0.49577242136001587,1.3853837251663208
5,0.4969595968723297,1.3825759887695312
6,0.49759441614151,1.3803683519363403
7,0.4984765350818634,1.3781838417053223
8,0.49887707829475403,1.3765058517456055
9,0.49930644035339355,1.3754476308822632
10,0.4997873604297638,1.3742289543151855
11,0.5003342628479004,1.3734018802642822
12,0.5006042122840881,1.372363805770874
13,0.5013022422790527,1.3714628219604492
14,0.5011414885520935,1.3710973262786865
15,0.5015646815299988,1.370300054550171
16,0.5018099546432495,1.3698203563690186
17,0.5022214651107788,1.36932373046875
18,0.5018154382705688,1.3686347007751465
19,0.502265453338623,1.3684511184692383
20,0.5025505423545837,1.3675700426101685
21,0.5027676820755005,1.3672294616699219
22,0.502703070640564,1.3671613931655884
23,0.502988874912262,1.3666024208068848
24,0.5027889609336853,1.3663195371627808
